ride_id,ride_date,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_time,dropoff_time,weather_condition
26,2024-11-11,14.830437,120.289229,14.834742,120.282017,06:19:18,06:24:48,Drizzle
27,2024-11-13,14.805287,120.322904,14.84,120.28522,17:43:19,18:17:24,Partly Cloudy
28,2024-12-01,14.827578,120.281476,14.820071,120.283719,09:49:27,09:55:01,Mostly Clear
29,2024-10-13,14.830122,120.29828,14.821303,120.273875,18:39:52,18:52:38,Drizzle
30,2024-05-20,14.839461,120.282904,14.840002,120.2852,17:17:21,17:21:08,Light Drizzle
31,2024-10-26,14.819346,120.283991,14.842806,120.286468,05:54:56,06:07:57,Light Drizzle
32,2024-11-04,14.838176,120.283958,14.824805,120.280285,15:14:17,15:23:30,Clear
33,2024-07-20,14.820082,120.284507,14.821506,120.273506,17:41:27,17:48:02,Clear
34,2024-10-03,14.823654,120.300597,14.848832,120.315184,17:41:04,18:00:25,Light Rain
35,2024-03-26,14.820533,120.284476,14.829569,120.286985,22:45:07,22:52:15,Clear
36,2024-10-30,14.849003,120.264207,14.836579,120.289719,21:15:06,21:26:53,Clear
37,2024-11-27,14.821813,120.272697,14.824168,120.289351,18:06:27,18:17:23,Light Rain
38,2024-05-17,14.851243,120.263447,14.824072,120.280169,06:17:56,06:41:04,Light Drizzle
39,2024-10-11,14.824154,120.279404,14.764684,120.25306,17:15:46,17:55:50,Light Drizzle
40,2024-06-25,14.887323,120.238141,14.824451,120.289218,18:22:44,19:02:27,Light Rain
41,2024-11-01,14.824016,120.289416,14.818915,120.284782,06:18:14,06:22:58,Partly Cloudy
42,2024-09-02,14.832863,120.285499,14.839337,120.284693,06:16:55,06:22:22,Light Drizzle
43,2024-11-12,14.825686,120.282179,14.822745,120.272834,18:58:28,19:07:06,Light Drizzle
44,2024-03-21,14.830694,120.289286,14.841633,120.283498,19:30:18,19:37:46,Clear
45,2024-03-17,14.829192,120.286703,14.83644,120.290302,10:04:03,10:09:48,Mostly Clear
46,2024-09-09,14.82796,120.281464,14.828861,120.285524,18:47:20,18:50:41,Fog
47,2024-08-14,14.822509,120.272608,14.877345,120.235586,10:37:27,11:10:22,Partly Cloudy
48,2024-07-24,14.818152,120.284553,14.824241,120.278564,16:02:29,16:06:45,Clear
49,2024-09-22,14.85703,120.2897,14.819539,120.28408,19:28:48,19:50:04,Cloudy
50,2024-04-25,14.823841,120.300475,14.840395,120.286367,09:29:07,09:39:26,Clear
51,2024-04-07,14.841452,120.285709,14.821704,120.299017,16:47:56,17:03:07,Cloudy
52,2024-10-23,14.839364,120.28407,14.775652,120.308469,15:55:09,16:18:16,Cloudy
53,2024-07-29,14.806292,120.323481,14.824137,120.301185,19:58:51,20:17:21,Heavy Rain
54,2024-01-08,14.82819,120.28611,14.822511,120.30134,14:55:41,15:04:17,Mostly Clear
55,2024-06-11,14.824453,120.279608,14.822546,120.29842,15:55:34,16:07:13,Rain
56,2024-08-15,14.805491,120.322691,14.822748,120.301441,06:02:20,06:13:57,Heavy Rain
57,2024-03-14,14.819267,120.284306,14.820968,120.279075,18:16:42,18:22:45,Clear
58,2024-07-15,14.849116,120.254623,14.821492,120.283471,09:15:24,09:31:39,Light Rain
59,2024-01-26,14.815641,120.316164,14.876786,120.232356,22:31:53,23:10:28,Partly Cloudy
60,2024-03-11,14.835999,120.289887,14.839815,120.283626,21:41:02,21:45:58,Mostly Clear
61,2024-07-06,14.776089,120.307983,14.828288,120.294818,17:16:58,17:43:38,Heavy Rain Showers
62,2024-10-12,14.826722,120.280339,14.824632,120.27773,17:16:34,17:19:37,Drizzle
63,2024-11-27,14.824898,120.277305,14.836536,120.290118,19:19:41,19:30:02,Cloudy
64,2024-03-20,14.877608,120.235066,14.819807,120.284512,21:06:53,21:33:55,Partly Cloudy
65,2024-10-05,14.816164,120.284012,14.843003,120.286269,21:22:03,21:33:11,Light Rain
66,2024-05-04,14.815224,120.283124,14.821546,120.274517,20:13:04,20:18:39,Heavy Rain
67,2024-03-07,14.832888,120.282287,14.835817,120.282277,17:42:55,17:46:54,Mostly Clear
68,2024-02-25,14.819715,120.278737,14.830255,120.289244,08:02:46,08:11:04,Clear
69,2024-11-07,14.82356,120.289555,14.823562,120.287783,08:40:37,08:44:26,Partly Cloudy
70,2024-08-19,14.824485,120.279998,14.839501,120.283816,14:21:52,14:27:22,Rain
71,2024-02-17,14.825227,120.282083,14.822878,120.286854,18:51:08,18:55:34,Mostly Clear
72,2024-10-22,14.826475,120.287072,14.830089,120.297965,07:14:54,07:21:34,Rain Showers
73,2024-12-21,14.842455,120.287551,14.822676,120.300731,08:48:19,09:02:00,Clear
74,2024-06-08,14.823153,120.287379,14.840756,120.286909,20:38:05,20:46:11,Partly Cloudy
75,2024-09-19,14.82113,120.275426,14.819285,120.284778,07:43:43,07:49:45,Fog
76,2024-08-08,14.868023,120.291935,14.877007,120.231925,08:14:32,08:49:25,Partly Cloudy
77,2024-07-26,14.820209,120.276702,14.82256,120.298794,08:29:53,08:44:24,Drizzle
78,2024-09-28,14.824226,120.27994,14.83941,120.284841,18:22:46,18:30:26,Light Drizzle
79,2024-10-23,14.830228,120.289349,14.856385,120.289475,19:41:40,20:02:00,Clear
80,2024-07-07,14.842748,120.281677,14.817136,120.283694,09:41:55,09:59:30,Light Drizzle
81,2024-04-06,14.819951,120.284083,14.823982,120.289787,17:03:28,17:09:14,Clear
82,2024-07-28,14.829035,120.280453,14.82356,120.300355,21:38:03,21:48:13,Rain
83,2024-06-19,14.842694,120.287528,14.849069,120.290243,18:19:41,18:24:57,Rime Fog
84,2024-11-26,14.837732,120.279572,14.829003,120.287173,16:23:01,16:31:18,Mostly Clear
85,2024-10-03,14.887721,120.237785,14.819407,120.284603,16:02:42,16:31:59,Cloudy
86,2024-07-29,14.829525,120.280272,14.839847,120.284962,18:39:18,18:47:56,Light Rain
87,2024-09-14,14.856704,120.28996,14.851774,120.262458,17:51:38,18:07:14,Mostly Clear
88,2024-08-11,14.819982,120.284275,14.821524,120.274116,18:56:22,19:02:11,Clear
89,2024-08-29,14.836146,120.286569,14.792101,120.294522,10:48:45,11:08:14,Light Rain
90,2024-05-01,14.828752,120.287079,14.829233,120.298387,07:40:50,07:51:37,Clear
91,2024-12-08,14.805441,120.322892,14.821622,120.271716,17:33:34,17:58:19,Partly Cloudy
92,2024-10-24,14.84211,120.287031,14.887255,120.236751,13:08:02,13:41:22,Light Rain
93,2024-08-22,14.823952,120.289407,14.828065,120.294646,06:56:02,07:02:34,Light Rain
94,2024-08-11,14.833083,120.286095,14.887151,120.238061,22:28:57,23:06:36,Cloudy
95,2024-04-02,14.848934,120.264992,14.8291,120.28641,06:20:42,06:38:52,Clear
96,2024-12-09,14.828788,120.294992,14.829057,120.286857,13:32:51,13:38:31,Mostly Clear
97,2024-10-17,14.829116,120.287429,14.836678,120.277992,07:23:23,07:29:44,Light Rain
98,2024-12-26,14.877334,120.233516,14.825486,120.280191,18:44:58,19:16:23,Partly Cloudy
99,2024-05-28,14.835317,120.287408,14.824336,120.279909,10:45:45,10:50:46,Partly Cloudy
100,2024-07-07,14.88699,120.237433,14.824927,120.280145,17:39:56,18:23:01,Cloudy
101,2024-10-09,14.838512,120.283483,14.837414,120.283391,10:49:08,10:51:53,Rain Showers
102,2024-05-25,14.832577,120.285151,14.837044,120.27831,12:12:40,12:17:00,Partly Cloudy
103,2024-11-05,14.827368,120.281312,14.823833,120.280068,17:52:55,17:57:48,Cloudy
104,2024-12-16,14.83944,120.284684,14.823588,120.299826,19:03:10,19:22:37,Mostly Clear
105,2024-08-26,14.821283,120.278543,14.841171,120.286902,06:06:03,06:17:30,Fog
106,2024-06-06,14.827054,120.281886,14.824711,120.279862,07:32:29,07:36:38,Light Rain
107,2024-07-25,14.823084,120.300356,14.856459,120.289614,08:35:12,09:02:26,Light Drizzle
108,2024-07-06,14.816224,120.283646,14.839221,120.283863,11:38:32,11:46:24,Rain Showers
109,2024-06-12,14.839322,120.283939,14.76471,120.253062,19:53:19,20:40:43,Rain
110,2024-11-18,14.835949,120.2901,14.764515,120.252701,19:50:49,20:46:28,Mostly Clear
111,2024-08-13,14.847998,120.253974,14.818692,120.283922,08:13:26,08:42:01,Cloudy
112,2024-09-29,14.824929,120.277559,14.765422,120.29286,08:43:41,09:14:20,Cloudy
113,2024-10-13,14.824238,120.28363,14.821493,120.277884,22:17:18,22:21:49,Light Rain
114,2024-06-26,14.775481,120.3077,14.877061,120.232847,21:16:47,22:05:04,Dense Drizzle
115,2024-09-28,14.839096,120.284805,14.835727,120.283716,06:26:21,06:31:34,Partly Cloudy
116,2024-11-26,14.826697,120.273452,14.837644,120.283995,19:36:14,19:48:32,Heavy Rain Showers
117,2024-05-28,14.837233,120.26819,14.83498,120.287481,05:19:36,05:31:51,Clear
118,2024-02-27,14.826415,120.272606,14.849304,120.254015,19:16:45,19:38:14,Clear
119,2024-03-12,14.828188,120.294837,14.836178,120.289695,17:16:24,17:24:41,Mostly Clear
120,2024-12-26,14.86792,120.292191,14.805965,120.322888,22:07:40,22:35:40,Partly Cloudy
121,2024-08-29,14.817429,120.28087,14.820832,120.278574,21:52:13,21:54:38,Rain
122,2024-09-15,14.824157,120.279352,14.824349,120.279415,17:20:54,17:24:49,Rain
123,2024-01-12,14.829356,120.282055,14.820678,120.275768,19:13:37,19:23:40,Partly Cloudy
124,2024-08-03,14.842337,120.287078,14.821133,120.278776,18:55:58,19:08:30,Clear
125,2024-01-12,14.820418,120.275609,14.823039,120.287623,15:43:46,15:49:23,Cloudy
126,2024-08-02,14.821551,120.298626,14.764595,120.252877,05:15:13,05:43:35,Light Rain
127,2024-01-29,14.856681,120.29023,14.821502,120.279103,17:52:58,18:20:51,Light Drizzle
128,2024-03-30,14.838927,120.284031,14.887042,120.237448,14:35:31,15:05:34,Mostly Clear
129,2024-05-03,14.841643,120.286582,14.824714,120.282101,12:54:45,13:04:14,Clear
130,2024-08-18,14.815413,120.283865,14.851693,120.256339,09:34:46,09:54:38,Partly Cloudy
131,2024-04-16,14.826501,120.28312,14.84203,120.282804,13:19:58,13:26:42,Drizzle
132,2024-10-09,14.824806,120.280288,14.841889,120.287743,07:34:41,07:48:52,Partly Cloudy
133,2024-03-15,14.83684,120.277618,14.821209,120.273341,19:37:46,19:45:54,Mostly Clear
134,2024-03-27,14.825241,120.279965,14.877559,120.235035,13:10:08,13:32:28,Partly Cloudy
135,2024-01-04,14.805455,120.322162,14.825308,120.279901,17:04:45,17:27:49,Partly Cloudy
136,2024-10-01,14.849356,120.264798,14.838757,120.283219,05:32:52,05:41:25,Cloudy
137,2024-07-22,14.83778,120.285096,14.835222,120.287757,18:36:15,18:39:25,Mostly Clear
138,2024-09-12,14.849218,120.254897,14.806038,120.322837,21:50:21,22:18:31,Clear
139,2024-02-08,14.821645,120.271623,14.825313,120.280079,12:57:34,13:02:34,Clear
140,2024-03-24,14.827038,120.279893,14.828966,120.280116,18:43:57,18:48:30,Partly Cloudy
141,2024-10-31,14.824136,120.279902,14.822064,120.27227,17:40:17,17:46:52,Partly Cloudy
142,2024-07-13,14.829328,120.282215,14.837065,120.278987,21:09:47,21:15:40,Light Drizzle
143,2024-09-19,14.83041,120.289369,14.826356,120.282658,07:35:05,07:42:48,Mostly Clear
144,2024-05-17,14.888024,120.237324,14.837136,120.278773,17:10:27,18:06:05,Fog
145,2024-07-13,14.838179,120.283021,14.81559,120.283998,13:28:21,13:38:55,Cloudy
146,2024-06-12,14.827365,120.280283,14.828429,120.281501,18:36:50,18:40:08,Light Rain
147,2024-08-12,14.78973,120.281928,14.820016,120.284297,22:04:52,22:18:05,Cloudy
148,2024-11-02,14.839463,120.283418,14.78923,120.281589,08:59:58,09:29:06,Drizzle
149,2024-10-15,14.828174,120.28625,14.830672,120.28931,21:41:25,21:45:18,Partly Cloudy
150,2024-07-10,14.805945,120.322752,14.81935,120.28342,19:44:32,20:07:40,Cloudy
151,2024-02-19,14.818341,120.281709,14.823634,120.287145,18:04:19,18:10:16,Mostly Clear
152,2024-07-26,14.838321,120.283332,14.824669,120.280016,10:40:42,10:50:10,Rain
153,2024-02-02,14.815272,120.283397,14.851066,120.262767,19:11:23,19:35:39,Cloudy
154,2024-12-27,14.82048,120.276666,14.856703,120.290079,20:37:05,20:52:55,Mostly Clear
155,2024-09-06,14.835322,120.288059,14.829399,120.28784,22:58:41,23:03:29,Cloudy
156,2024-04-09,14.877064,120.235449,14.828256,120.285442,16:32:41,16:54:49,Clear
157,2024-10-02,14.82158,120.273124,14.851245,120.25686,19:47:49,20:04:47,Mostly Clear
158,2024-11-30,14.82436,120.279434,14.843041,120.287576,12:55:02,13:03:23,Cloudy
159,2024-12-29,14.841376,120.286503,14.832824,120.282349,14:10:39,14:17:12,Clear
160,2024-05-16,14.820075,120.283725,14.841551,120.286542,16:57:43,17:06:38,Clear
161,2024-06-13,14.841177,120.286215,14.822808,120.272761,21:25:31,21:37:49,Dense Drizzle
162,2024-07-07,14.847938,120.254319,14.825399,120.282049,19:00:55,19:22:55,Rain
163,2024-06-21,14.817902,120.28125,14.839741,120.28404,07:50:21,08:02:25,Heavy Rain
164,2024-11-28,14.835739,120.282242,14.820392,120.275906,18:05:41,18:20:47,Clear
165,2024-10-30,14.823685,120.279137,14.849727,120.265234,17:00:44,17:19:21,Rain
166,2024-03-09,14.822966,120.28711,14.83621,120.282718,21:09:04,21:16:43,Fog
167,2024-02-14,14.819292,120.278558,14.84292,120.287407,10:48:07,10:58:54,Partly Cloudy
168,2024-12-19,14.877181,120.231225,14.820493,120.276902,18:13:33,18:55:27,Clear
169,2024-07-03,14.764643,120.293127,14.838939,120.284257,10:24:55,10:50:55,Partly Cloudy
170,2024-01-31,14.821863,120.272755,14.83003,120.298908,14:32:18,14:46:11,Mostly Clear
171,2024-04-14,14.829006,120.281247,14.822759,120.27269,10:34:20,10:38:53,Clear
172,2024-08-10,14.820562,120.275222,14.849596,120.264722,17:19:42,17:38:09,Light Rain
173,2024-05-17,14.824897,120.280259,14.820592,120.283511,09:49:57,09:53:36,Mostly Clear
174,2024-10-17,14.829172,120.287148,14.836539,120.283353,06:57:36,07:03:51,Light Rain
175,2024-12-31,14.823595,120.279767,14.837269,120.283226,14:14:20,14:23:41,Mostly Clear
176,2024-01-24,14.8415,120.286952,14.820433,120.284091,09:56:29,10:05:37,Clear
177,2024-07-07,14.819479,120.284051,14.827824,120.285879,17:46:57,17:52:54,Light Rain
178,2024-06-06,14.849077,120.290989,14.819261,120.28368,17:26:31,17:45:25,Fog
179,2024-11-22,14.822151,120.298619,14.824373,120.288745,09:37:36,09:42:18,Cloudy
180,2024-04-29,14.848887,120.265383,14.821689,120.298552,08:06:09,08:37:15,Partly Cloudy
181,2024-11-04,14.827974,120.287027,14.826735,120.283888,18:09:05,18:12:03,Mostly Clear
182,2024-03-12,14.826897,120.279844,14.838434,120.283428,06:08:12,06:14:12,Light Drizzle
183,2024-06-18,14.820638,120.283865,14.826449,120.283305,17:10:59,17:16:03,Partly Cloudy
184,2024-05-31,14.82452,120.277211,14.831075,120.288354,18:03:05,18:11:46,Mostly Clear
185,2024-10-16,14.8406,120.286331,14.876798,120.232309,06:01:20,06:47:40,Light Drizzle
186,2024-01-29,14.843634,120.281521,14.828837,120.281949,11:36:54,11:43:24,Partly Cloudy
187,2024-12-26,14.822074,120.271685,14.843239,120.286118,20:36:09,20:50:53,Clear
188,2024-09-26,14.835211,120.287856,14.789212,120.281618,08:12:51,08:34:49,Cloudy
189,2024-12-05,14.847842,120.254611,14.83832,120.282969,07:20:08,07:38:52,Cloudy
190,2024-07-12,14.817949,120.280767,14.84178,120.28306,17:11:46,17:25:04,Fog
191,2024-06-18,14.829628,120.287534,14.822742,120.286825,11:22:20,11:26:56,Clear
192,2024-05-11,14.829383,120.281614,14.847798,120.254603,22:00:03,22:18:45,Rime Fog
193,2024-11-29,14.822652,120.301854,14.789828,120.282016,11:10:28,11:27:49,Light Drizzle
194,2024-02-17,14.877811,120.235171,14.821314,120.283493,18:45:01,19:18:00,Mostly Clear
195,2024-02-19,14.828642,120.281661,14.821328,120.278672,18:09:03,18:15:34,Mostly Clear
196,2024-09-07,14.820539,120.27559,14.843282,120.286182,12:05:41,12:18:50,Clear
197,2024-12-22,14.820696,120.283804,14.820285,120.284355,09:42:22,09:45:39,Dense Drizzle
198,2024-10-20,14.82916,120.281873,14.805482,120.322735,15:19:05,15:47:17,Cloudy
199,2024-03-26,14.838978,120.284447,14.881617,120.235873,11:08:02,11:29:19,Clear
200,2024-07-17,14.826435,120.283047,14.819313,120.279024,18:33:29,18:38:37,Light Rain
201,2024-05-26,14.824662,120.277119,14.823785,120.300893,13:56:26,14:06:24,Mostly Clear
202,2024-06-18,14.868623,120.292409,14.797741,120.272149,05:47:30,06:13:56,Rain
203,2024-03-09,14.776372,120.307314,14.817774,120.283338,18:17:46,18:49:41,Mostly Clear
204,2024-03-10,14.825203,120.279564,14.877095,120.233363,16:56:36,17:23:35,Cloudy
205,2024-09-15,14.824829,120.281707,14.85176,120.263749,19:01:15,19:20:21,Mostly Clear
206,2024-10-19,14.823614,120.300938,14.821764,120.278734,11:54:14,12:09:53,Drizzle
207,2024-11-03,14.821142,120.283888,14.836221,120.290349,11:16:38,11:25:50,Dense Drizzle
208,2024-11-15,14.821302,120.271355,14.827586,120.282069,08:42:53,08:52:41,Drizzle
209,2024-04-06,14.764388,120.252465,14.828502,120.285433,17:51:54,18:42:30,Partly Cloudy
210,2024-04-07,14.815851,120.316062,14.837493,120.267734,19:34:40,20:13:21,Cloudy
211,2024-04-03,14.827129,120.282235,14.81938,120.279121,13:41:05,13:46:25,Partly Cloudy
212,2024-10-24,14.876933,120.232538,14.824216,120.283436,09:30:56,09:52:18,Thunderstorm
213,2024-08-22,14.77633,120.307904,14.820483,120.276415,17:49:05,18:18:07,Drizzle
214,2024-11-20,14.876831,120.23362,14.836466,120.283817,07:24:00,08:04:18,Mostly Clear
215,2024-07-15,14.823314,120.301245,14.76472,120.253023,06:52:02,07:48:13,Heavy Rain
216,2024-07-25,14.824049,120.289083,14.835782,120.286054,06:13:46,06:22:22,Rain
217,2024-01-25,14.819049,120.283807,14.823845,120.279101,14:28:24,14:33:49,Partly Cloudy
218,2024-12-24,14.830108,120.288764,14.830037,120.297927,17:32:46,17:40:22,Drizzle
219,2024-12-18,14.826737,120.283467,14.817054,120.284131,13:15:00,13:22:54,Light Drizzle
220,2024-11-25,14.820378,120.284462,14.805816,120.322834,18:16:29,18:39:43,Drizzle
221,2024-06-17,14.826793,120.280193,14.822263,120.29791,08:17:56,08:28:00,Mostly Clear
222,2024-01-31,14.83706,120.28311,14.775704,120.307456,10:06:26,10:30:18,Partly Cloudy
223,2024-03-07,14.877057,120.234973,14.851401,120.262881,18:28:02,18:47:50,Partly Cloudy
224,2024-08-09,14.824332,120.289987,14.824575,120.279449,11:30:22,11:35:09,Cloudy
225,2024-09-10,14.85671,120.290429,14.830283,120.289093,09:48:31,10:05:20,Light Drizzle
226,2024-02-15,14.843267,120.281906,14.828574,120.294955,15:20:07,15:29:46,Partly Cloudy
227,2024-09-17,14.820122,120.283562,14.830488,120.288884,18:21:23,18:30:11,Cloudy
228,2024-11-20,14.827342,120.279695,14.839965,120.284471,12:35:33,12:42:59,Mostly Clear
229,2024-07-20,14.828286,120.281404,14.764311,120.293348,17:45:21,18:36:59,Clear
230,2024-08-09,14.820644,120.283861,14.837376,120.283188,15:59:32,16:07:26,Rain
231,2024-08-02,14.83698,120.277925,14.827193,120.287661,22:48:15,22:54:34,Dense Drizzle
232,2024-06-09,14.877031,120.233255,14.771907,120.257455,16:40:13,17:15:26,Dense Drizzle
233,2024-06-14,14.820903,120.282976,14.851729,120.262784,13:35:30,13:52:32,Mostly Clear
234,2024-07-14,14.874071,120.235589,14.822119,120.298887,17:17:48,18:01:23,Light Drizzle
235,2024-04-24,14.81773,120.280687,14.820338,120.284185,16:24:15,16:27:59,Light Rain
236,2024-01-28,14.839569,120.283174,14.837976,120.283103,08:55:49,08:59:19,Heavy Rain
237,2024-02-08,14.823651,120.300576,14.817077,120.284273,08:07:24,08:16:12,Partly Cloudy
238,2024-12-04,14.857105,120.290175,14.822382,120.301823,19:22:04,19:47:49,Mostly Clear
239,2024-04-21,14.829201,120.287203,14.815569,120.283152,20:33:30,20:41:17,Light Rain
240,2024-12-15,14.830694,120.288954,14.82926,120.281381,14:58:50,15:03:04,Clear
241,2024-11-29,14.833036,120.281397,14.82114,120.27869,17:10:49,17:18:20,Drizzle
242,2024-02-06,14.821206,120.275501,14.839096,120.284356,10:01:29,10:09:46,Mostly Clear
243,2024-07-26,14.835804,120.28805,14.877359,120.23542,08:07:34,08:38:02,Rain Showers
244,2024-07-14,14.828062,120.295383,14.805701,120.323533,18:10:34,18:29:21,Clear
245,2024-10-11,14.873752,120.235155,14.877189,120.235372,08:38:25,08:43:41,Mostly Clear
246,2024-04-02,14.806223,120.322773,14.835019,120.28776,20:54:03,21:17:34,Mostly Clear
247,2024-06-18,14.819911,120.283907,14.820671,120.2833,17:06:18,17:09:13,Partly Cloudy
248,2024-04-23,14.78971,120.281268,14.841114,120.286526,21:27:17,21:47:12,Partly Cloudy
249,2024-05-23,14.876727,120.232504,14.848546,120.25412,10:57:34,11:11:20,Cloudy
250,2024-04-18,14.797746,120.271808,14.819838,120.276294,16:16:34,16:25:03,Mostly Clear
251,2024-02-16,14.843051,120.281974,14.824531,120.280001,19:15:54,19:31:35,Clear
252,2024-09-06,14.842946,120.281877,14.830774,120.289162,06:02:42,06:12:17,Partly Cloudy
253,2024-10-05,14.8332,120.285283,14.836284,120.278607,07:23:37,07:29:20,Mostly Clear
254,2024-03-25,14.837652,120.279467,14.824688,120.282622,18:13:09,18:25:39,Clear
255,2024-01-23,14.824525,120.28055,14.824423,120.282748,17:40:32,17:43:28,Clear
256,2024-08-17,14.828705,120.286742,14.764818,120.293026,15:55:30,16:28:09,Partly Cloudy
257,2024-08-20,14.877,120.233025,14.829976,120.298912,07:24:08,08:22:01,Mostly Clear
258,2024-09-03,14.836153,120.28292,14.841132,120.283173,20:34:52,20:39:50,Cloudy
259,2024-07-14,14.857146,120.290255,14.837167,120.28321,19:36:06,19:48:41,Rime Fog
260,2024-07-11,14.819649,120.284459,14.839705,120.28553,22:51:20,23:01:39,Cloudy
261,2024-04-14,14.820069,120.283882,14.821425,120.284131,18:11:23,18:16:06,Clear
262,2024-09-17,14.829394,120.286521,14.838003,120.28354,08:39:44,08:47:25,Light Rain
263,2024-07-24,14.827013,120.287238,14.851634,120.256323,16:18:45,16:33:22,Mostly Clear
264,2024-11-02,14.837023,120.290182,14.821836,120.298708,19:10:43,19:20:26,Clear
265,2024-05-25,14.842411,120.288128,14.827223,120.28816,16:58:37,17:07:28,Clear
266,2024-02-07,14.822578,120.282175,14.820512,120.283289,06:51:32,06:54:45,Partly Cloudy
267,2024-01-15,14.821564,120.278522,14.83591,120.282111,07:40:50,07:53:00,Clear
268,2024-04-01,14.82848,120.286052,14.829798,120.298544,08:17:11,08:25:27,Clear
269,2024-02-10,14.836877,120.283067,14.805734,120.322989,21:31:39,21:50:29,Clear
270,2024-04-03,14.828231,120.282096,14.820637,120.283616,16:17:25,16:23:00,Clear
271,2024-03-02,14.836235,120.283323,14.820807,120.279227,15:20:44,15:29:04,Light Rain
272,2024-06-24,14.826424,120.279583,14.820794,120.282892,17:26:44,17:32:24,Partly Cloudy
273,2024-03-17,14.805939,120.32253,14.775755,120.307707,07:31:08,07:52:06,Mostly Clear
274,2024-11-18,14.816177,120.284021,14.836427,120.283222,18:23:23,18:37:14,Cloudy
275,2024-12-10,14.83083,120.289815,14.821771,120.298905,18:56:05,19:03:57,Clear
276,2024-06-11,14.823647,120.280045,14.836384,120.278389,22:17:38,22:24:45,Clear
277,2024-04-30,14.822753,120.301619,14.829481,120.286871,22:44:47,22:53:12,Clear
278,2024-05-14,14.823155,120.287673,14.836396,120.290114,09:41:59,09:52:17,Fog
279,2024-06-15,14.842136,120.283431,14.821074,120.273712,15:55:34,16:05:56,Cloudy
280,2024-11-23,14.77632,120.308042,14.838036,120.285789,12:58:22,13:23:16,Mostly Clear
281,2024-05-26,14.851541,120.262613,14.764712,120.253751,07:48:30,08:41:44,Cloudy
282,2024-04-22,14.79185,120.294017,14.827673,120.282025,06:33:48,07:03:15,Mostly Clear
283,2024-12-24,14.841171,120.286837,14.828134,120.286447,11:20:01,11:28:28,Clear
284,2024-04-21,14.840595,120.286904,14.877281,120.235374,07:23:29,07:52:10,Clear
285,2024-12-31,14.877018,120.232803,14.817206,120.284643,18:15:47,19:12:07,Partly Cloudy
286,2024-03-03,14.877576,120.23508,14.835428,120.281571,17:23:56,17:59:14,Partly Cloudy
287,2024-12-18,14.830415,120.273829,14.789709,120.282143,06:15:10,06:46:43,Partly Cloudy
288,2024-11-26,14.82639,120.282926,14.843286,120.287372,15:46:12,15:54:49,Light Drizzle
289,2024-10-05,14.819515,120.284312,14.791762,120.29429,18:55:53,19:13:55,Drizzle
290,2024-07-05,14.822065,120.298279,14.827927,120.285724,11:20:46,11:28:12,Partly Cloudy
291,2024-02-19,14.82899,120.28689,14.825971,120.283179,06:11:55,06:18:19,Clear
